username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
imoyymoyymuaffaq,Zidan ko tiba tiba ngilangg ahhh😢,4,0,0,,
azza_cxx,bajuna fero knp kusut gitu dah 😢🙌,1,0,0,,
wantek.gorontalo,🔥,0,0,0,,
inggilestariagustien,Bang Fero dm aku baca dong 😢,0,0,0,,
viionaa77,V,0,0,0,,
thomassellbuy,💙💙,0,0,0,,
jhofanpapuaoil,Mantapp 🔥🔥 @fero_walandouw,0,0,0,,
emayuliaw,🤘🏻🫰🏻💙💙,0,0,0,,
iintannvn_,,0,0,0,,
aprilragenzaa,Pak Prabowo ❤,1,0,0,,
aprilragenzaa,✌🏻🩵,1,0,0,,
rikanovitasarie06,Gemoy dan mas gibran satu putaran✌,2,0,0,,
mhdrezamr_,"Orang Waras pasti bisa menilai mana benar dan mana yg salah, ketika suatu kesalahan dijadikan sebuah pembenaran disitulah tingkat Kewarasan kita diuji apakah kita berEtika atau tidak. Tolak Kubu Pelanggar ETIKA",0,0,0,,
alif.cherycikarang,Wiiih kerenn pilihan saya ✌️,0,0,0,,
mfajarilham_,"Bang Rikweesin ya: Besok kalo jadi bagi makan siang lauk sama nasinya yg banyak ya kalo ga pesen di RM Padang aja biar kita kenyang pas pulang sekolah, tapi jangan serbu, lauk ya pala kakap aja gpp ga usah rendang tapi di kasih dikit ya gpp minum nya es teh jumbo aja gpp ko💪Pesta rakyat untuk Indonesia mukbang",0,0,0,,
adnrr86,sudah saatnya bapak prabowo bersistirahat..menikamti masa tua dengan tenang dan bahagia..jgn capek2 untuk bekerja...sehat selalu ❤️,0,0,0,,
sugiono_ryan,Yg dah ilang akal sehatnya alias goblok bin tolol pasti pilihnya 02! Yg cerdas dan berakal sehat berduyun2 Hijrah ke 01!!👏 Sorry Yee!! Rakyat cerdas mah ga kemakan gimmick org goblokkk!!😂,0,0,0,,
dianyaanda,Nomor 1 ❤️❤️❤️❤️kelass,3,0,0,,
margaretaagusti,All in prabowo gibran kak fero✌,0,0,0,,
dira.yunda,All in Prabowo,0,0,0,,
joe_ariesta703,02 ✌️✌️❤️ 🇮🇩,0,0,0,,
kontraktor_profilan_klasik,🔥🔥🔥🔥🔥,0,0,0,,
silverqueen000_,😍,1,0,0,,
dira.yunda,ALL IN FOR PRABOWO GIBRAN 2024 NO ✌🏻2,2,0,0,,
auliaallhasan,😍,0,0,0,,
varo_and_kadut,❤️❤️❤️❤️,2,0,0,,
putri_oficial7458,Mantap✌️🥰🥰🥰,0,0,0,,
ebixflower,Majuu Toleee Minahasa😍,4,0,0,,
saerangtyas,I yayat u santi,0,0,0,,
khsnulhtmah_,AMIN 🤲🤲🤲☝️☝️INSHA ALLAH PRESIDENT 2024 🔥🔥🔥,0,0,0,,
yudngrha,"Salam kosong satu,🔥 ANIS",0,0,0,,
kabirshoh__,👏👏👏👏,0,0,0,,
tasya_syifalovers,❤️❤️❤️,0,0,0,,
iday775511,😍,0,0,0,,
febpur_,seganteng itu🥺,1,0,0,,
mursalin.23,Kau nampakvtua dan lelah eyang..sdh waktunya istirahat. Kasian rakyat ini lihat eyang .,0,0,0,,
zusttopena,Aneh gw sma artis artis pilih 02.. Bwat rakyat sadar lah,0,0,0,,
kayy_risee,"Suara rakyat jelata (Mau ngasih makan aja harus jadi presiden dan wakil presiden dulu. Itupun dari pajak, pajak yg di naikkan untuk ngasih makan siang gratis untuk rakyat, seluruh ibu² se-Indonesia masak makan siang gratis dari pajak). Bodohnya rakyat yg ngga sadar. Jokowi ingin menurun dinasti ke anaknya tapi yg bayar utang negara adalah rakyatnya. Inilah alasan mengapa pilih 02 syaratnya harus bodoh 😂",0,0,0,,
racun_shopee1299,Di endors berapa Bg eh maksudnya di kasih uang berapa M Bg,3,2,0,,
sahilryoz555888,@racun_shopee1299  pinjamlah 100 🤣🤣🤣,0,0,1,racun_shopee1299,Di endors berapa Bg eh maksudnya di kasih uang berapa M Bg
