username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
widiyantoredy,Oke Gas Oke Gas... Bapak joget pak...,0,0,0,,
andinailmiawan,"Bg teddy slalu standby ya,mengarahkan pak prabowo jg",0,0,0,,
note_asiyah,"Pilih yg sehat"" saja... 01",0,0,0,,
memeyyyyyu,Kasian jalannya udah susah,0,0,0,,
sisca9232,Mantappppppp inih baru presiden berwibawa dn berprestasi gax kaya sebelah suram sekali raut wjhny😂,0,0,0,,
yatiek4,masyaa alloh.... sehat2 ya bpk....,0,0,0,,
adhifsptr,Tgl 14 02 prabowo 2024 PRESIDEN,0,0,0,,
virgocun_,❤❤❤❤,0,0,0,,
bangdereza,"Baru mencalonkan aj udh byk masalah, apalagi kalo jd. Amit2 cabang pohon.",0,0,0,,
m.fredy19,Gass pull salam ✌️✌️,0,0,0,,
ririn_agusfitriyani,✌🏼✌🏼🔥🔥🔥,0,0,0,,
amanah10_,Anis anis 14bpebuari,0,0,0,,
aaallffaaa,Dikasih makan dan susu gratis pastinya ya,0,0,0,,
jeng_sis81,❤️❤️❤️❤️ Prabowo selalu dihati,0,0,0,,
putriaini239,InsyaAllah Pak Anis Presoden 🔥🔥❤,0,0,0,,
nodin_rii,Mantap,0,0,0,,
kangedoy79,Ambil Amplopnya OTW nya ke JIS 😂,0,0,0,,
syamsulbahri1738,"Jalan aja dah susah mbaahh,waktunya istrht perbanyak ibadaahh",0,0,0,,
tutiicha8,mayor tedy kpn donk pak Prabowo ke Karawang ✌️,0,0,0,,
aqisutrisno,Tedi ngapain tuh,0,0,0,,
prei_satru76,Tombol menang satu putaran👏👏🔥🔥❤️❤️❤️,3,0,0,,
budiekamulia,01☝️,0,0,0,,
dewina04,01 untuk perubahan,0,0,0,,
yuliaiyie,All in Prabowo Gibran... ✌️❤️✌️,0,0,0,,
susisamirah,01 ❤️❤️❤️,0,0,0,,
scarr.two,❤️,0,0,0,,
ansdiery,"GIBRAN = GERAKAN INDONESIA BERSMA ANIES BASWEDAN, gagasan tanpa gibah dan joget. ☝☝☝☝☝",0,0,0,,
megautm01_,02 dihati🔥😍,0,0,0,,
noorahmadbaji,"Andai bapak kau yg kena culik, masih kau disini koar2 joget2",0,0,0,,
konveksimilenialbandung,Ini yang kamrin minta maaf trus koar koar lagi 😂,0,0,0,,
adi_untuksiapa,Ini baru Calon presiden 👍👍,0,0,0,,
diditalvaropanji,#asalbukanprabowogibran ...kita dukung ANTI NEO ORBA,0,0,0,,
agus_hariyad,"Bisa nya gitu doang, joget-joget abis tu pingsan 😂",0,0,0,,
ya.yat183,"Hati2 pak tua ,,!!!! Strog kumat lagi,,Ga ada yg gandeng,,calon ibu negara nya mannaa?",0,0,0,,
jogja_tokosprei,"Aduh, udah tua jalan gak seimbang... Msh sangat minat jabatan presiden, duuhhh",0,0,0,,
faeyzhamalik,"Nnton kampanye presiden ap nnton artis"" nya yaa😂😂😂",0,0,0,,
raflinzxx,02🔥,0,0,0,,
mutiarasamodra,Semangat lebih baik AMIN.01👍,0,0,0,,
papikhai_,Anies-Muhaimin 🙌,0,0,0,,
ghofur.mhmd,JOGED MULU 🤣,1,1,0,,
efriana.a_,Daripad  sholawatan  sambil ghibah .mending  joget..hahahaha 😂😂,0,0,1,ghofur.mhmd,JOGED MULU 🤣
