username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
_aziz_cena,"Setelah goyang, lapar perut terus tidur karna gak masak dirumah🤣🤣🤣",1,0,0,,
ucultampan,Goyang terus bro,0,0,0,,
rossylov2021,Joget lagi joget lagi ...kampanye kok gini amat😢 katanya mau mencerdaskan anak bangsa....drpd pada joget goyang sampaikan ide gagasanya ...bisa mencontoh desak anies tabrak mahfudz malming ganjar itu kampanye berbobot 👏,0,0,0,,
robysaputra_13,Kalau cuma joget mah anak ku juga bisa 😂,0,0,0,,
lx.san02,kita butuh pemimpin bukan badut,0,0,0,,
marufghazaly439,Ajang cari badut Joged,0,0,0,,
dienakm7,"02 x, 00✓",0,0,0,,
nonielviyanti,Goyang terus bang sampai tanggal 14 lewat 😂,0,0,0,,
najlaalkhansaa,GK suka probowo terlalu gemoy dan gemuk,0,0,0,,
husen_arekmalang,ALL IN PRABOWO ( pajak di naikkan buat naikkan gaji pejabat agar tidak korupsi ) MKMKMK😂😂😂,0,0,0,,
iccaangg,Tolol,0,0,0,,
namanyaarindy,loveee ❤️❤️,0,0,0,,
seeursal96_,"EHH PENDUKUNG ANIS DAN GANJAR PERLU DI CATAT. BAPAK SAYA PNS DKI JAKARTA WAKTU ANIS BASWEDAN MENJABAT SEBAGAI GUBERNUR JATAH UANG MAKAN DIHILANGKAN DAN GAJI TKD SELURUH PNS TERKENA POTONG 50% DENGN ALASAN COVID DAN MAU DI RAPEL (diganti) PADA SAAT DESEMBER 2022 TETAPI TAK KUNJUNG DATANG PERGANTIAN UANG GAJI YG DI POTONG TIDAK DI GANTI FULL. HANYA DIGANTI 20% SAJA, DAN SAAT DITAGIH MAS ANIS BILANG ""Loh kan saya sudah selesai masa bakti nya""  SMUA PNS PADA KOMPLAIN TP BELIAU TIDAK MENDENGARKAN SUARA RAKYAT. YAKIN MAU PILIH ANIS? YG MEREKA INGINKAN ITU PERUBAHAN UNTUK KEKAYAAN SNDIRI BUKAN UNTUK RAKYAT. MAKA DR ITU SELURUH PNS DAN DISHUB TIDAK ADA YG MAU DUKUNG ANIS KARNA MEREKA SUDAH SENGSARA GARA"" BELIAU MENJABAT SEBAGAI GUBERNUR. #INI FAKTA BUKAN HOAX DAN SAYA ANAK NYA BAPAK SAYA CERITA DAN NGELUH KEPADA IBU SAYA!!

DAN UNTUK PENDUKUNG GANJAR APAKAH ANDA SIAP PERUBAHAN KINERJA? DALAM ARTIAN PEGAWAI LAMA AKAN TERSINGKIRKAN DENGAN PEGAWAI BARU YG ASAL DIPILIH OLEH ANGGOTA PDIP SPERTI PADA SAAT JOKOWI MENJABAT PRESIDEN YG HANYA D JADIKAN BONEKA OLEH MEGACHAN?? PERLU NYA EDUKASI SESUAI FAKTA DALAM PILPRES JANGAN ASAL BICARA!!!! HARGAI PILIHAN ORG LAIN KALAU ANDA MAU DIHARGAIN GAUSA NGEJUDGE KARNA KITA BEDA PILIHAN!!!

#allinnomor2",6,0,0,,
etyimulyati71,Yg pas dan ad pda dri seorang presiden cuma pak ANIS,0,0,0,,
fataytkhsnah,Anis,0,0,0,,
fataytkhsnah,Snis❤️,0,0,0,,
cung.oyik,ssstt! yng penting mukbang 😂,0,0,0,,
baby.addict7,perasaan cuma penuh sama joget² aja yaa,0,0,0,,
bin_abdulghani25,Emang ngurus negara bisa dg joget apa🔥,0,0,0,,
bin_abdulghani25,Manfaat joget buat rakyat apa ya?,0,0,0,,
dapuy_kateye,Tetep 02 di hati❤️❤️❤️,0,0,0,,
bebasinajh_,"yang milih Prabowo fix orang2 yang takut pajaknya dinaikin, cari aman ajh tuh orang2 kaya china gobloog",0,0,0,,
hermansyah4325,"Yg waras pilih no 2  prabowo gibran
Untuk indonesia semakin maju, semakin makmur. 
❤️❤️🔥🔥👏👏",0,0,0,,
zeeeyeess,ini semua tentang BISNIS cs,0,0,0,,
minayulianti,"Kaum NALAR ASAM SULFAT. Tdk paham penghianatan demokrasi dan konstitusi, demi dinasti, nalarnya cuma paham bergenjer ria",0,0,0,,
kamilafatinn,KAMPANYE PALING KOSONG!,0,0,0,,
not_qee,Aturan aja di langgar 😢,2,0,0,,
april_lmmpw,Mantul...santai tpi serius....02 PraGib Presidentku❤️🔥👏,0,0,0,,
syaifulhts,JOGET TERUSS...DITANYA PROBLEM SOLUSINYA MAKAN 😂😂😂,0,0,0,,
dayak_cegakk,Ngeriii banget liat komen pendukung Anis sama Ganjar tenang pak Prabowo kami di Kalbar sudah pasti mendukung bapak,0,0,0,,
jack_owie_,Di kancah internasional yang di butuhkan yang jago debat bukan jago Joget 😢,0,0,0,,
ellshaaa123_,Malah kek ajang mencari bakat😂,0,0,0,,
wakanda_kejarta,CAIR,0,0,0,,
enjang965,Kl di tanya jawabannya ngangong2 ngalor ngidul,0,0,0,,
diahlestari09,"Apapun pertanyaannya, jawabannya makan siang gratis dan hilirisasi.. 😂😂😂😂 terus cuman jual joget2 doang.. Rakyat indonesia nyari presiden.. Bukan nyari badut ultah..",0,0,0,,
mr.arjun_elfiedz,Kaya gini kualitas kalian? Pantes aj para sahabat menyuruh menjauhi org2 yg sperti ini,0,0,0,,
mhmmdalipptrwn_,sudah joget mukbangg🌾🌾,1,0,0,,
dyuni04,Bacot banget njirr yang dukug 01. Sibuk bat ngurusin paslon lain,0,0,0,,
deddys_8686,Gagasan visi misinya mana ko liatnya cuma joget2 aja😂😂😂,0,0,0,,
ranysahmdqh,"Di tiktok lagi viral, Kinerja Pak Prabowo"" Yg Mendaur Ulang Sampah Jadi Gubernur Tapi Sampah yg Di Daur Ulang MlahTidak berguna... Kan Ngakak 😂😂😂",0,0,0,,
risma__str,"Susttt pendukung amin lagi berkoar-koar ,, kita yang pendukung Prabowo senyumin aja",0,0,0,,
joevvart,☝️Amin kan saja,0,0,0,,
supriadi8730,Gua anies nih coy,0,0,0,,
singgiht,"Selama kampanya aja deh, yg Paslon ini kok gini2 aja ya? Segmen utk org2 pecinta sinetron di tv, hadehhh",0,0,0,,
nabilllbi,All in 02,0,0,0,,
pebcat02_,"Koalisi jogat joget, visi misi makan siang gratis, susu kotak gratis, imunisasi Asam sulfat 😌😏",0,0,0,,
arifan_1212,#asalbukan02 amin aja dulu 01,0,0,0,,
buddy_paradise,Joget mulu ... Payah,0,0,0,,
siikucelll_,Orang goblok ngapa biasa jadi artis dah😂,0,0,0,,
ponda_tim,Capres error…sama kyk…..??,0,0,0,,
ayuuuw0_0,@cc.jae_ kaya lagi zumbaa hmmm,0,1,0,,
cc.jaee_,"@secc4yuu0_0 iya saya setuju,saya sepaham🔥",0,0,1,ayuuuw0_0,@cc.jae_ kaya lagi zumbaa hmmm
wan.ndz,Centang biru banyak uang masuk limapuluhan y😂,0,0,0,,
_hmubarok,Joged terus mang joged. 😂😂 #1,0,0,0,,
gaabiiiiiiii__,torag orag maluku bersama Anies 1️⃣☝🏼,0,0,0,,
terusbelajarbaik,Ajang perbadutan,0,0,0,,
iannfww,AMIN AJA DULU ☝️,0,0,0,,
